publisher_domain,ssp_domain,seller_id,relationship,verified_legal_entity
moneycontrol.com,google.com,pub-2192002536170159,DIRECT,e-Eighteen.com Ltd.
moneycontrol.com,google.com,pub-5242205118131617,DIRECT,e-Eighteen.com Ltd.
moneycontrol.com,facebook.com,552030038499319,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,indexexchange.com,190493,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,indexexchange.com,192221,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,openx.com,540310758,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,gammassp.com,1620116670,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,openx.com,543828198,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,113941,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,157677,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,165318,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,19840,DIRECT,NETWORK18 MEDIA AND INVESTMENTS LIMITED
moneycontrol.com,rubiconproject.com,19842,DIRECT,Unlisted / Unknown ID
moneycontrol.com,rubiconproject.com,19840,DIRECT,NETWORK18 MEDIA AND INVESTMENTS LIMITED
moneycontrol.com,rubiconproject.com,13506,DIRECT,Network 18 Media & Investments Ltd
moneycontrol.com,sovrn.com,255455,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,lijit.com,255455,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,lijit.com,255455-eb,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,xandr.com,11497,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,11497,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,12048,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,teads.tv,10726,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,teads.tv,27136,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,kargo.com,8982,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,fabrik.com,141,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-6358294573682566,RESELLER,Kargo Publishing LLC
moneycontrol.com,aps.amazon.com,91667ea5-81f1-433a-99ca-8c9df5934ce7,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,triplelift.com,11584-EB,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,7424,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,160247,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,160382,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,indexexchange.com,197137,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,indexexchange.com,183897,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,indexexchange.com,186250,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,sharethrough.com,PgB8P48H,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,media.net,8CUA286RD,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,aps.amazon.com,779bdaf2-7955-402f-9476-b0a531d45eaa,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,indexexchange.com,193225,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,openx.com,542530908,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,160006,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,160096,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,1908,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,smaato.com,1100044650,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,ad-generation.jp,12474,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,districtm.io,100962,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,yieldmo.com,2719019867620450718,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,3663,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rhythmone.com,1654642120,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,yahoo.com,55029,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,gumgum.com,14141,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,admanmedia.com,726,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,sharethrough.com,7144eb80,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,emxdgt.com,2009,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,1356,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,contextweb.com,562541,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,smartadserver.com,4125,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,themediagrid.com,JTQKMP,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,sovrn.com,375328,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,lijit.com,375328,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,beachfront.com,14804,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,improvedigital.com,2050,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,mintegral.com,10043,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,sonobi.com,7f5fa520f8,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,onetag.com,770a440e65869c2,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,media.net,8CUZ1MK22,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,risecodes.com,63832beef8189a00015cb6d3,RESELLER,Not Tracked (Non-Top 3 SSP)
