publisher_domain,publisher_category,ssp_domain,seller_id,relationship,verified_legal_entity
nytimes.com,News & Media,amazon-adsystem.com,3030,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,google.com,pub-4177862836555934,DIRECT,NYTimes
nytimes.com,News & Media,google.com,pub-9542126426993714,DIRECT,Unlisted / Unknown ID
nytimes.com,News & Media,indexexchange.com,184733,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,liveintent.com,130,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,openx.com,537145107,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,openx.com,539936340,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,openx.com,539052954,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,openx.com,544071378,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,rubiconproject.com,12330,DIRECT,The New York Times Company
nytimes.com,News & Media,rubiconproject.com,17470,DIRECT,Google
nytimes.com,News & Media,triplelift.com,746,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,pubmatic.com,158573,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,pubmatic.com,158945,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,pubmatic.com,163427,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,media.net,8CU2553YN,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,media.net,8CU83M88N,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,media.net,8CU4XCJ1B,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,yahoo.com,55861,DIRECT,Not Tracked (Non-Top 3 SSP)
nytimes.com,News & Media,google.com,pub-1793726897772453,DIRECT,"Submarine Leisure Club, LLC."
nytimes.com,News & Media,aps.amazon.com,3030,DIRECT,Not Tracked (Non-Top 3 SSP)
